어린이집명,어린이집등급,보육과정 및 상호작용,보육환경 및 운영관리,건강 및 안전,교직원,평가 인증 년월,우편번호,시군구명,어린이집코드,어린이집유형,상세주소,전화번호,시설 위도(좌표값),시설 경도(좌표값),제공서비스,평가 인증 년,평가완료여부,평가예정날짜,평가마감날짜,시
kids-sure어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,3187,종로구,11110000147,직장,서울특별시 종로구 종로 14 (서린동),02-723-1272,37.570421,126.9862765,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
구기어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,3012,종로구,11110000154,민간,서울특별시 종로구 진흥로22길 8-1 (구기동),02-391-7072,37.60668049,126.958301,야간연장,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
라이나생명 키즈나루 어린이집,A,우수,우수,우수,우수,2021-05-01 0:00:00,3156,종로구,11110000178,직장,서울특별시 종로구 삼봉로 48 시그나 빌딩 2층,02-3779-8170,37.57209526,126.9800091,일반,2021,N,2024. 5. 1,2024. 5. 15,서울특별시
삼양어린이집,A,우수,우수,우수,우수,2021-01-01 0:00:00,3129,종로구,11110000176,직장,서울특별시 종로구 종로33길 31,02-760-5081,37.57261232,127.0010958,일반,2021,Y,2024. 2. 1,2024. 2. 15,서울특별시
서울지방국세청 우리누리어린이집,A,우수,우수,우수,우수,2021-09-01 0:00:00,3151,종로구,11110000179,직장,서울특별시 종로구 종로5길 86,02-739-5100,37.57413147,126.9797709,일반,2021,N,2024. 9. 1,2024. 9. 15,서울특별시
종로생명숲어린이집,A,우수,우수,우수,우수,2021-09-01 0:00:00,3009,종로구,11110000155,국공립,서울특별시 종로구 평창문화로 73-7 종로생명숲어린이집,02-359-1671,37.60646733,126.9681766,야간연장,2021,N,2024. 9. 1,2024. 9. 15,서울특별시
SKT행복날개어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4539,중구,11140000057,직장,서울특별시 중구 을지로2가 을지로 65 SK-T타워 3층,02-6100-0115,37.56647,126.9851118,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
SK브로드밴드 행복한 어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4637,중구,11140000099,직장,서울특별시 중구 남대문로5가 퇴계로 24 SK남산그린빌딩 4층,02-6266-2300,37.556619,126.9759616,야간연장,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
농협중앙회어린이집,A,우수,우수,우수,우수,2021-08-01 0:00:00,4516,중구,11140000087,직장,서울특별시 중구 새문안로 16,02-2080-4941,37.56646362,126.9677369,일반,2021,N,2024. 8. 1,2024. 8. 15,서울특별시
다솜어린이집,A,우수,우수,우수,우수,2021-08-01 0:00:00,4593,중구,11140000028,국공립,"서울특별시 중구 동호로10길 30 103동 101호(신당동, 약수하이츠)",02-2236-9121,37.55472522,127.0146044,일반,2021,N,2024. 8. 1,2024. 8. 15,서울특별시
키즈일레븐어린이집,A,우수,우수,우수,우수,2021-04-01 0:00:00,4637,중구,11140000117,직장,서울특별시 중구 한강대로 416 2층,02-6456-8560,37.55583997,126.9733362,일반,2021,N,2024. 4. 1,2024. 4. 15,서울특별시
국립중앙박물관 해누림 어린이집,A,우수,우수,우수,우수,2021-05-01 0:00:00,4383,용산구,11170000207,직장,서울특별시 용산구 서빙고로 137 국립중앙박물관,02-2077-9048,37.52349496,126.9776012,일반,2021,N,2024. 5. 1,2024. 5. 15,서울특별시
꼬마성어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4393,용산구,11170000159,가정,"서울특별시 용산구 장문로6길 76 1단지 1-3 (동빙고동,용산푸르지오파크타운)",02-794-2796,37.52160605,126.9946438,야간연장,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
꿈꾸는어린이집,A,우수,우수,우수,우수,2021-02-01 0:00:00,4319,용산구,11170000035,가정,"서울특별시 용산구 효창원로69길 57 101동 104호(효창동, 효창베네스빌)",02-719-6545,37.54166978,126.9612742,일반,2021,Y,2024. 2. 1,2024. 2. 15,서울특별시
노벨어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4331,용산구,11170000164,가정,서울특별시 용산구 후암로22길 10 104호(후암동),02-796-7270,37.55139781,126.977295,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
늘해랑어린이집,A,우수,우수,우수,우수,2021-02-01 0:00:00,4380,용산구,11170000124,가정,"서울특별시 용산구 이촌로29길 21-7 101동 101호(한강로3가, 우림필유아파트)",02-792-4683,37.52546826,126.9597476,일반,2021,Y,2024. 2. 1,2024. 2. 15,서울특별시
맘앤키즈어린이집,B,우수,우수,보통,우수,2021-07-01 0:00:00,4358,용산구,11170000141,가정,"서울특별시 용산구 효창원로 17 107동 105호(산천동, 삼성리버힐아파트)",02-719-4183,37.53487888,126.9508027,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
목멱어린이집,A,우수,우수,우수,우수,2021-02-01 0:00:00,4346,용산구,11170000208,국공립,서울특별시 용산구 회나무로12나길 10,02-6954-2057,37.53904801,126.9909255,일반,2021,Y,2024. 2. 1,2024. 2. 15,서울특별시
샘물어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4361,용산구,11170000188,국공립,서울특별시 용산구 원효로4가 원효로19길 49,02-701-0505,37.53421027,126.9545942,장애아통합,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
스타터즈어린이집,B,우수,보통,우수,보통,2021-09-01 0:00:00,4427,용산구,11170000092,민간,서울특별시 용산구 이촌로 174 동부센트레빌 105,02-749-8247,37.52095297,126.9665017,일반,2021,N,2024. 9. 1,2024. 9. 15,서울특별시
용산구청직장어린이집,B,우수,우수,우수,우수,2021-02-01 0:00:00,4390,용산구,11170000140,직장,서울특별시 용산구 녹사평대로 150 종합행정타운 1층 (이태원동),02-794-2543,37.53244208,126.9903466,일반,2021,Y,2024. 2. 1,2024. 2. 15,서울특별시
용산소방서직장어린이집,A,우수,우수,우수,우수,2021-02-01 0:00:00,4375,용산구,11170000206,직장,서울특별시 용산구 한강대로 167 용산소방서,02-749-6034,37.53408944,126.971579,일반,2021,Y,2024. 2. 1,2024. 2. 15,서울특별시
용산캐슬어린이집,A,우수,우수,우수,우수,2021-02-01 0:00:00,4317,용산구,11170000205,국공립,"서울특별시 용산구 백범로 313 키즈클럽(효창동,롯데캐슬센터포레)",02-712-7942,37.53981745,126.9630736,일반,2021,Y,2024. 2. 1,2024. 2. 15,서울특별시
청운어린이집,B,우수,우수,우수,보통,2021-02-01 0:00:00,4306,용산구,11170000061,민간,서울특별시 용산구 효창원로94길 23 (청파동1가),02-715-1657,37.54828177,126.9647823,야간연장,2021,Y,2024. 2. 1,2024. 2. 15,서울특별시
청화어린이집,B,우수,보통,우수,우수,2021-01-01 0:00:00,4416,용산구,11170000049,가정,"서울특별시 용산구 보광로 14 A동 108호(보광동, 신동아1차아파트)",02-3785-1684,37.52574417,127.0017389,일반,2021,Y,2024. 1. 1,2024. 1. 15,서울특별시
푸른꿈어린이집,B,우수,보통,우수,우수,2021-08-01 0:00:00,4355,용산구,11170000190,국공립,"서울특별시 용산구 백범로 260 효창파크푸르지오아파트 104동, 1층",02-719-9989,37.54023934,126.9583324,야간연장,2021,N,2024. 8. 1,2024. 8. 15,서울특별시
푸른숲속어린이집,A,우수,우수,우수,우수,2021-03-01 0:00:00,4358,용산구,11170000122,가정,"서울특별시 용산구 효창원로 17 104동 103호(산천동, 리버힐삼성아파트)",02-701-5437,37.53487888,126.9508027,일반,2021,N,2024. 3. 1,2024. 3. 15,서울특별시
구립 극동미라주어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4721,성동구,11200000377,국공립,"서울특별시 성동구 난계로 73 101동 110호(하왕십리동, 극동미라주 아파트)",02-2295-4002,37.55507412,127.0266748,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
구립 독서당어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4733,성동구,11200000336,국공립,서울특별시 성동구 매봉길 17 래미안리버젠 2단지,02-2299-2929,37.54650054,127.0144754,야간연장,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
구립 벽산어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4718,성동구,11200000070,국공립,"서울특별시 성동구 금호동1가 행당로6길 2 (금호동1가, 금호벽산제2관리소 2층)",02-2296-3062,37.55539336,127.0253734,야간연장,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
구립 성삼보듬이나눔이어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4795,성동구,11200000342,국공립,서울특별시 성동구 성수동2가 광나루로 242-17,02-466-3028,37.5487548,127.0565635,야간연장,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
구립 센트라스나래어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4701,성동구,11200000376,국공립,"서울특별시 성동구 왕십리로 410 하왕십리동, 123동",02-2291-2017,37.56575099,127.0264466,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
구립 센트라스라온어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4701,성동구,11200000373,국공립,"서울특별시 성동구 왕십리로 410 129동(하왕십리동, 센트라스)",02-2296-3002,37.56499368,127.0284554,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
구립 센트라스아띠어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4701,성동구,11200000375,국공립,"서울특별시 성동구 왕십리로 410 하왕십리동, 센트라스 101동",02-2292-2295,37.56704892,127.0241097,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
구립 센트라스으뜸어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4701,성동구,11200000374,국공립,"서울특별시 성동구 왕십리로 410 하왕십리동, 센트라스 128동",02-2282-4650,37.56538647,127.0246638,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
구립 옥수파크어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4731,성동구,11200000370,국공립,"서울특별시 성동구 매봉길 50 110동 (옥수동, 옥수파크힐스 1단지)",02-2282-3241,37.54853505,127.0140492,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
구립 옥수힐스어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4731,성동구,11200000371,국공립,"서울특별시 성동구 매봉길 50 (옥수동, 옥수파크힐스 2단지)",02-2281-7979,37.54729369,127.0121218,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
꽃가람어린이집,A,우수,우수,우수,우수,2021-08-01 0:00:00,4700,성동구,11200000347,가정,"서울특별시 성동구 마장로 137 208동 101호(상왕십리동, 텐즈힐 아파트)",02-2299-6400,37.56782358,127.0250517,일반,2021,N,2024. 8. 1,2024. 8. 15,서울특별시
늘푸른 어린이집,A,우수,우수,우수,우수,2021-02-01 0:00:00,4726,성동구,11200000308,가정,"서울특별시 성동구 금호산길 8 108-105(금호동3가,금호1차푸르지오)",02-2253-0079,37.54884008,127.0196819,일반,2021,Y,2024. 2. 1,2024. 2. 15,서울특별시
도담아이 어린이집,A,우수,우수,우수,우수,2021-08-01 0:00:00,4713,성동구,11200000344,가정,"서울특별시 성동구 행당로 79 119동 103호(행당동, 대림아파트)",02-6213-5410,37.558204,127.0275067,일반,2021,N,2024. 8. 1,2024. 8. 15,서울특별시
두리두리어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4710,성동구,11200000129,가정,"서울특별시 성동구 왕십리로31나길 22 3동 109호(하왕십리동, 한신무학아파트)",02-2295-5689,37.56257201,127.0281483,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
또또 어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4717,성동구,11200000154,가정,"서울특별시 성동구 행당로 82 111동 101호(행당동, 해모로한진타운)",02-2281-8992,37.55593461,127.0290936,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
모두의 숲 어린이집,A,우수,우수,우수,우수,2021-06-01 0:00:00,4790,성동구,11200000396,직장,서울특별시 성동구 상원6나길 22-7,02-463-0312,37.54753876,127.0498872,일반,2021,N,2024. 6. 1,2024. 6. 15,서울특별시
샛별어린이집,A,우수,우수,우수,우수,2021-08-01 0:00:00,4788,성동구,11200000348,가정,"서울특별시 성동구 성수동1가 상원길 63 101동 103호(성수동1가, 쌍용아파트)",02-498-5579,37.55013567,127.0471085,일반,2021,N,2024. 8. 1,2024. 8. 15,서울특별시
세림 어린이집,B,보통,우수,우수,우수,2021-01-01 0:00:00,4757,성동구,11200000109,가정,"서울특별시 성동구 마장로42길 14 6동 104호(마장동, 세림아파트)",02-2298-1553,37.56499505,127.0451705,일반,2021,Y,2024. 1. 1,2024. 1. 15,서울특별시
아이뜰어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4747,성동구,11200000304,가정,서울특별시 성동구 고산자로 160 대림강변아파트 112-101,02-6219-0536,37.55378857,127.0350561,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
아이사랑영재 어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4746,성동구,11200000116,가정,"서울특별시 성동구 고산자로 164 102동 104호(행당동, 행당한신)",02-2299-4470,37.55648283,127.0352744,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
토토어린이집,B,우수,우수,우수,보통,2021-05-01 0:00:00,4737,성동구,11200000314,가정,"서울특별시 성동구 금호동4가 금호로 17 203동 104호(금호동4가, 서울숲2차푸르지오)",02-6326-3977,37.546881,127.0240715,일반,2021,N,2024. 5. 1,2024. 5. 15,서울특별시
힐스테이트 어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4780,성동구,11200000283,민간,서울특별시 성동구 성수일로4길 26 서울숲힐스테이트 아파트 단지내 관리노인정 1층 (성수동2가),02-466-5331,37.54123386,127.0521307,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
KB구의 어린이집,A,우수,우수,우수,우수,2021-03-01 0:00:00,4977,광진구,11215000355,직장,서울특별시 광진구 광나루로 525 3층,02-6235-7977,37.54511534,127.0880028,일반,2021,N,2024. 3. 1,2024. 3. 15,서울특별시
구립 능동 꿈맞이어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4987,광진구,11215000334,국공립,서울특별시 광진구 천호대로120길 32,02-457-7532,37.55279334,127.0859691,"일반,시간제보육",2021,N,2024. 7. 1,2024. 7. 15,서울특별시
구립 아이와나무어린이집,A,우수,우수,우수,우수,2021-08-01 0:00:00,4931,광진구,11215000357,국공립,서울특별시 광진구 천호대로123길 4-4,02-452-5579,37.55523866,127.0871885,일반,2021,N,2024. 8. 1,2024. 8. 15,서울특별시
구립 우리아이어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,5036,광진구,11215000356,국공립,서울특별시 광진구 구의로4길 21 구의동,010-4697-9933,37.54012729,127.0908384,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
구립 원스쿨어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4984,광진구,11215000336,국공립,서울특별시 광진구 아차산로69길 19 현대아파트 902동 104호,02-6451-8801,37.54300096,127.0979692,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
구립 자양4동어린이집,B,우수,우수,보통,우수,2021-07-01 0:00:00,5073,광진구,11215000012,국공립,서울특별시 광진구 아차산로32길 17 (자양동),02-463-4959,37.53913,127.06851,"장애아통합,야간연장",2021,N,2024. 7. 1,2024. 7. 15,서울특별시
