어린이집명,어린이집등급,보육과정 및 상호작용,보육환경 및 운영관리,건강 및 안전,교직원,평가 인증 년월,우편번호,시군구명,어린이집코드,어린이집유형,상세주소,전화번호,시설 위도(좌표값),시설 경도(좌표값),제공서비스
GS건설 꿈과 희망의 어린이집,A,우수,우수,우수,우수,2022-09-01,3159,종로구,11110000156,직장,서울특별시 종로구 종로 33 그랑서울 타워2  (2층),02-3789-5971,37.57096024,126.9814402,일반
KIM&CHANG 어린이집,A,우수,우수,우수,우수,2023-08-01,3175,종로구,11110000150,직장,서울특별시 종로구 신문로2가 경희궁길 26 썬타워빌딩 1층,02-738-6901,37.57227407,126.9709899,일반
KT혜화 어린이집,A,우수,우수,우수,우수,2023-11-01,3082,종로구,11110000111,직장,서울특별시 종로구 대학로 65 (연건동),02-3676-9300,37.57700048,127.0042702,일반
LG광화문어린이집,A,우수,우수,우수,우수,2019-01-01,3184,종로구,11110000157,직장,서울특별시 종로구 신문로2가 새문안로 58,070-4065-0286,37.56927522,126.9715792,일반
SC으뜸별 어린이집,B,우수,보통,우수,우수,2020-01-01,3160,종로구,11110000170,직장,서울특별시 종로구 종로 47,02-3210-0904,37.57112618,126.9824409,일반
SGI서울보증 어린이집,A,우수,우수,우수,우수,2023-01-01,3128,종로구,11110000165,직장,서울특별시 종로구 김상옥로 29 2층,02-3671-7051,37.57362864,127.0010301,일반
SK ecoplant 행복날개어린이집,A,우수,우수,우수,우수,2022-12-01,3143,종로구,11110000152,직장,서울특별시 종로구 율곡로2길 19 SK ecoplant 행복날개어린이집,02-6395-0202,37.57443353,126.9811462,일반
SK네트웍스새싹어린이집,A,우수,우수,우수,우수,2022-06-01,3190,종로구,11140000026,직장,"서울특별시 종로구 청계천로 85 삼일빌딩, 3층",070-7800-2115,37.56505624,126.9830142,일반
SK행복어린이집,A,우수,우수,우수,우수,2023-12-01,3188,종로구,11110000105,직장,서울특별시 종로구 종로 26 SK서린동빌딩 2층,02-2121-1611,37.56967307,126.980289,일반
kids-sure어린이집,A,우수,우수,우수,우수,2021-07-01,3187,종로구,11110000147,직장,서울특별시 종로구 종로 14 (서린동),02-723-1272,37.570421,126.9862765,일반
가회어린이집,A,우수,우수,우수,우수,2023-02-01,3056,종로구,11110000029,국공립,서울특별시 종로구 북촌로12길 12-2 가회어린이집 (가회동),02-3673-2085,37.58180502,126.9858807,야간연장
감사원어린이집,A,우수,우수,우수,우수,2023-07-01,3053,종로구,11110000183,직장,서울특별시 종로구 북촌로 127,02-730-9390,37.56647,126.977963,일반
