핵심지표,세부지표,세부항목,질문,유형
보육 과정 및 상호작용,영유아 권리 존중,교사는 영유아를 존중한다.,교사는 영유아가 이해할 수 있는 내용으로 눈을 마주치며 이야기함,객관식
보육 과정 및 상호작용,영유아 권리 존중,교사는 영유아를 존중한다.,"교사는 위협, 비난, 조롱 등 부정적 언어를 사용하지 않음",객관식
보육 과정 및 상호작용,영유아 권리 존중,교사는 영유아를 존중한다.,교사는 영유아의 개별적 요구나 질문을 주의 깊게 듣고 적절하게 반응함,서술형
보육 과정 및 상호작용,영유아 권리 존중,교사는 영유아를 존중한다.,"교사는 인정과 격려를 통해 영유아의 말과 행동, 생각 및 감정을 지지해 줌",서술형
보육 과정 및 상호작용,영유아 권리 존중,교사는 영유아를 차별 없이 대한다.,"교사는 영유아의 사회･경제적 지위, 문화적 배경, 종교, 인종, 성별, 신체적 능력에 대해 차별적인 말과 행동을 하지 않음",객관식
보육 과정 및 상호작용,영유아 권리 존중,교사는 영유아를 차별 없이 대한다.,"교사는 영유아의 외모, 옷차림, 성격, 행동 등을 평가하지 않음",객관식
보육 과정 및 상호작용,보육 계획수립 및 실행,표준보육과정을 바탕으로 어린이집의 철학을 반영한 보육계획을 수립한다.,표준보육과정과 어린이집의 철학을 반영하여 연간보육계획을 수립함,객관식
보육 과정 및 상호작용,보육 계획수립 및 실행,표준보육과정을 바탕으로 어린이집의 철학을 반영한 보육계획을 수립한다.,"영유아의 흥미와 요구를 반영하여 반별로 월간, 주간, 일일보육계획안 중 한 가지를 수립함",객관식
보육 과정 및 상호작용,보육 계획수립 및 실행,영유아가 편안한 분위기에서 일상경험을 할 수 있도록 운영한다.,식사와 간식 시간에 서두르지 않고 편안히 먹을 수 있도록 지도함,객관식
보육 과정 및 상호작용,보육 계획수립 및 실행,영유아가 편안한 분위기에서 일상경험을 할 수 있도록 운영한다.,"등원 시 영유아를 반갑게 맞이하고, 하원 시 안정된 분위기에서 귀가하도록 지도함",서술형
보육 과정 및 상호작용,보육 계획수립 및 실행,영유아가 편안한 분위기에서 일상경험을 할 수 있도록 운영한다.,"영유아의 연령(월령)과 준비 정도, 개인차를 고려하여 배변 경험이 개별적으로 일관되게 이루어지도록 지도함",서술형
보육 과정 및 상호작용,보육 계획수립 및 실행,영유아가 편안한 분위기에서 일상경험을 할 수 있도록 운영한다.,영유아의 개별적 특성에 맞게 편안하게 잠들 수 있는 환경과 분위기를 마련해 줌,서술형
보육 과정 및 상호작용,보육 계획수립 및 실행,하루 일과에서 영유아의 놀이가 충분히 이루어지도록 한다.,매일 실내 놀이시간을 2시간 이상으로 배정하여 운영함,객관식
보육 과정 및 상호작용,보육 계획수립 및 실행,하루 일과에서 영유아의 놀이가 충분히 이루어지도록 한다.,일과를 시간 단위로 분절하여 교과목 형태의 활동을 진행하지 않음,객관식
보육 과정 및 상호작용,보육 계획수립 및 실행,바깥놀이 시간을 매일 충분히 배정하여 운영한다.,매일 바깥놀이를 기준시간 이상으로 배정하여 운영,객관식
보육 과정 및 상호작용,보육 계획수립 및 실행,특별활동은 운영 지침에 따라 운영한다.,특별활동은 24개월 이상 영유아를 대상으로 부모동의서를 받은 영유아에 한해서만 별도로 제공하고 있음,객관식
보육 과정 및 상호작용,보육 계획수립 및 실행,특별활동은 운영 지침에 따라 운영한다.,특별활동에 참여하지 않는 영유아를 대상으로 놀이와 활동 등을 운영하고 있음,객관식
보육 과정 및 상호작용,보육 계획수립 및 실행,특별활동은 운영 지침에 따라 운영한다.,특별활동은 오후에 운영됨,객관식
보육 과정 및 상호작용,놀이 및 활동지원,교사는 놀이와 활동이 영유아의 자발적 선택에 의해 주도적으로 이루어지도록 격려한다.,"놀이에 참여하지 못하고 배회하거나 방관하는 영유아가 있는 경우, 영유아가 놀이에 자발적인 흥미를 가질 수 있도록 지원함",객관식
보육 과정 및 상호작용,놀이 및 활동지원,교사는 놀이와 활동이 영유아의 자발적 선택에 의해 주도적으로 이루어지도록 격려한다.,교사는 놀이시간에 영유아가 자유롭게 탐색하여 놀이나 활동을 자발적으로 할 수 있도록 지원함,서술형
보육 과정 및 상호작용,놀이 및 활동지원,교사는 놀이와 활동이 영유아의 자발적 선택에 의해 주도적으로 이루어지도록 격려한다.,교사는 개별 영유아가 좋아하는 놀이와 활동을 주도적으로 진행하도록 격려함,서술형
보육 과정 및 상호작용,놀이 및 활동지원,교사는 영유아의 놀이 상황을 관찰하면서 놀이와 관련된 상호작용을 한다.,교사는 놀이시간에 놀이와 활동이 이루어지는 장소 전체를 수시로 살펴 영유아의 놀이 진행과정을 파악함,객관식
보육 과정 및 상호작용,놀이 및 활동지원,교사는 영유아의 놀이 상황을 관찰하면서 놀이와 관련된 상호작용을 한다.,교사는 영유아의 놀이와 활동에 즐겁게 참여함,객관식
보육 과정 및 상호작용,놀이 및 활동지원,교사는 영유아의 놀이 상황을 관찰하면서 놀이와 관련된 상호작용을 한다.,교사는 영유아의 놀이 상황을 관찰하면서 놀이와 관련하여 적절한 수준의 지원을 함,서술형
보육 과정 및 상호작용,놀이 및 활동지원,영유아의 다양한 놀이와 활동에 필요한 자료를 제공한다.,"교사는 영유아의 연령, 발달수준, 사전경험을 고려하여 놀이 및 활동자료를 준비함",객관식
보육 과정 및 상호작용,놀이 및 활동지원,영유아의 다양한 놀이와 활동에 필요한 자료를 제공한다.,현재 이루어지고 있는 놀이 및 활동에 필요한 자료를 제공함,객관식
보육 과정 및 상호작용,놀이 및 활동지원,영유아의 다양한 놀이와 활동에 필요한 자료를 제공한다.,놀잇감과 활동자료는 영유아가 수월하게 꺼내어 사용할 수 있도록 배치함,객관식
보육 과정 및 상호작용,영유아 간 상호작용 지원,교사는 영유아의 감정에 공감하고 스스로의 감정을 다룰 수 있도록 돕는다.,영유아가 불안정하고 부정적인 정서를 표현할 때 그대로 수용하고 안정감을 느끼도록 반응함,서술형
보육 과정 및 상호작용,영유아 간 상호작용 지원,교사는 영유아의 감정에 공감하고 스스로의 감정을 다룰 수 있도록 돕는다.,"영유아의 정서 상태나 기분을 파악하여 언어적, 비언어적으로 반응하며 수용함",서술형
보육 과정 및 상호작용,영유아 간 상호작용 지원,"교사는 영유아가 일상에서 자신의 의견, 생각 등을 또래와 나눌 수 있도록 격려한다.",교사는 영유아가 자신의 감정이나 생각을 또래에게 말로 표현하도록 격려함,서술형
보육 과정 및 상호작용,영유아 간 상호작용 지원,"교사는 영유아가 일상에서 자신의 의견, 생각 등을 또래와 나눌 수 있도록 격려한다.",교사는 놀이나 활동 상황에서 또래 간 학습이 일어나도록 영유아 간의 상호 작용을 격려함,서술형
보육 과정 및 상호작용,영유아 간 상호작용 지원,교사는 영유아가 적절한 약속과 규칙을 지키도록 격려한다.,반별로 영유아의 연령과 발달수준에 적합한 최소한의 약속과 규칙이 있음,객관식
보육 과정 및 상호작용,영유아 간 상호작용 지원,교사는 영유아가 적절한 약속과 규칙을 지키도록 격려한다.,교사는 영유아가 약속과 규칙을 자율적으로 지켜가도록 일상에서 반복적이고 일관되게 격려함,객관식
보육 과정 및 상호작용,영유아 간 상호작용 지원,교사는 영유아간 다툼이나 문제가 발생할 경우 다양한 해결방식을 사용한다.,교사는 영유아 간 다툼이나 문제 상황이 발생하지 않도록 놀잇감과 공간을 충분히 확보함,객관식
보육 과정 및 상호작용,영유아 간 상호작용 지원,교사는 영유아간 다툼이나 문제가 발생할 경우 다양한 해결방식을 사용한다.,"영유아 간 다툼이나 문제 상황이 발생했을 경우, 연령에 적합하게 개입함",객관식
보육 과정 및 상호작용,보육과정평가,"반별 보육일지에 하루 일과 및 놀이실행에 대한 기록이 있고, 필요한 경우 그 내용을 다음 놀이 지원 및 활동 계획에 반영한다.",반별 보육일지에 영유아의 하루 일과와 놀이실행에 대한 기록이 있음,객관식
보육 과정 및 상호작용,보육과정평가,"반별 보육일지에 하루 일과 및 놀이실행에 대한 기록이 있고, 필요한 경우 그 내용을 다음 놀이 지원 및 활동 계획에 반영한다.",필요한 경우 하루 일과 및 놀이실행에 대한 기록을 다음 놀이 지원 및 활동 계획에 반영하고 있음,객관식
보육 과정 및 상호작용,보육과정평가,"영유아의 일상생활, 실내외 놀이에 대한 관찰 내용을 기록하고, 영유아의 발달특성과 변화를 평가한다.","일상생활, 놀이에서 개별 영유아의 반응과 행동을 관찰하여 기록함",객관식
보육 과정 및 상호작용,보육과정평가,"영유아의 일상생활, 실내외 놀이에 대한 관찰 내용을 기록하고, 영유아의 발달특성과 변화를 평가한다.",영유아 관찰 결과를 활용하여 영유아의 발달특성과 변화의 정도에 대한 총평을 연 2회 이상 기록함,객관식
보육 과정 및 상호작용,보육과정평가,"영유아의 일상생활, 실내외 놀이에 대한 관찰 내용을 기록하고, 영유아의 발달특성과 변화를 평가한다.","영유아 평가 결과를 영유아의 놀이 지원, 부모면담 등에 반영하고 있음",객관식
보육 과정 및 상호작용,보육과정평가,원장은 각 반별 보육과정 운영에 대한 평가를 통해 어린이집 전체 보육과정 운영을 파악하고 있다,원장은 반별 보육과정 평가 결과를 어린이집 운영에 반영함,객관식
보육 과정 및 상호작용,보육과정평가,원장은 각 반별 보육과정 운영에 대한 평가를 통해 어린이집 전체 보육과정 운영을 파악하고 있다,원장은 반별 보육과정 운영에 대한 평가를 실시하여 어린이집 전체의 보육과정 운영을 파악하고 있음,서술형
보육환경 및 운영관리,실내공간구성 및 운영,"보육실 내 놀이영역은 영유아의 연력, 발달특성 및 놀이를 반영하여 구성한다.","보육실은 영유아의 연령, 발달특성, 어린이집의 보육프로그램을 반영한 놀이 영역으로 구성되어 있음",객관식
보육환경 및 운영관리,실내공간구성 및 운영,"보육실 내 놀이영역은 영유아의 연력, 발달특성 및 놀이를 반영하여 구성한다.",놀이영역은 영유아의 놀이가 방해받지 않을 정도의 크기로 구성되어 있음,객관식
보육환경 및 운영관리,실내공간구성 및 운영,실내 시설 및 설비가 영유아의 발달수준에 적합하다.,실내 시설 및 설비가 영유아의 연령 및 신체에 적합한 크기와 높이로 되어 있어 영유아 스스로 사용하기에 용이함,객관식
보육환경 및 운영관리,실내공간구성 및 운영,실내 시설 및 설비가 영유아의 발달수준에 적합하다.,"기저귀 갈이대, 수유공간 등 영아를 위한 공간이 마련되어 있으며, 해당 공간에 수유와 기저귀 갈이 시 필요한 물품을 비치하여 사용하고 있음",객관식
보육환경 및 운영관리,실내공간구성 및 운영,영유아의 요구를 충족하는 보육실 이외의 별도의 공간을 마련하고 있다.,"영유아의 요구를 충족하는 보육실 이외의 별도의 공간(유희실, 도서공간, 양호공간, 식당 등)이 어린이집 내에 두 군데 이상 마련되어 있음",객관식
보육환경 및 운영관리,실내공간구성 및 운영,영유아의 요구를 충족하는 보육실 이외의 별도의 공간을 마련하고 있다.,보육실 내 영유아의 휴식공간이 있음,객관식
보육환경 및 운영관리,실내공간구성 및 운영,영유아의 요구를 충족하는 보육실 이외의 별도의 공간을 마련하고 있다.,영유아의 개별 물품을 보관할 수 있는 공간이 마련되어 있음,객관식
보육환경 및 운영관리,실내공간구성 및 운영,비품과 활동자료를 보관하는 별도의 공간이 있고 체계적으로 정리하고 있다.,"비품과 활동자료를 보관하는 별도의 공간이 있고, 체계적인 분류기준에 따라 명칭, 내용, 관련 영역 등을 표시하여 보관하고 있음",객관식
보육환경 및 운영관리,실외 공간 구성 및 운영,옥외놀이터 등을 구비하고 있다.,옥외놀이터가 구비되어 있음,객관식
보육환경 및 운영관리,실외 공간 구성 및 운영,옥외놀이터 등을 구비하고 있다.,"옥외놀이터가 구비되어 있지 않은 경우, 대체놀이터를 이용하고 있음",객관식
보육환경 및 운영관리,실외 공간 구성 및 운영,영유아의 발달을 지원하는 다양한 놀이 및 활동자료가 준비되어있다.,영유아의 발달을 지원하는 다양한 놀이기구 또는 놀이 및 활동자료가 구비되어 있음,객관식
보육환경 및 운영관리,실외 공간 구성 및 운영,영유아의 발달을 지원하는 다양한 놀이 및 활동자료가 준비되어있다.,바깥놀이 시 영유아의 발달에 적합한 다양한 놀이와 활동이 이루어짐,객관식
보육환경 및 운영관리,실외 공간 구성 및 운영,영유아의 발달을 지원하는 다양한 놀이 및 활동자료가 준비되어있다.,놀이기구 또는 놀이 및 활동자료는 영유아의 발달에 적합한 크기와 기능을 가지고 있음,서술형
보육환경 및 운영관리,실외 공간 구성 및 운영,영유아의 발달에 적합한 다양한 바깥놀이 및 활동이 이루어진다.,바깥놀이 시 자연과 친숙해지는 경험이 이루어짐,객관식
보육환경 및 운영관리,기관운영,모든 반을 편성 규정에 맞게 운영하고 있다.,모든 반이 반편성 기준을 준수하고 있음,객관식
보육환경 및 운영관리,기관운영,모든 반을 편성 규정에 맞게 운영하고 있다.,"연령별 반 규모는 만0세의 경우 3배, 만1세 이상의 경우 2배를 초과하지 않음",객관식
보육환경 및 운영관리,기관운영,어린이집 운영계획을 수립하여 부모에게 안내한다.,수요조사를 통해 어린이집 운영시간과 방법 등의 운영계획을 수립함,객관식
보육환경 및 운영관리,기관운영,어린이집 운영계획을 수립하여 부모에게 안내한다.,어린이집 운영계획이 부모에게 안내됨,객관식
보육환경 및 운영관리,기관운영,어린이집 운영계획을 수립하여 부모에게 안내한다.,16시 이후 보육되는 영유아에 대해 놀이 및 휴식 등이 운영되고 있음,객관식
보육환경 및 운영관리,기관운영,신규 보육교직원에게 오리엔테이션을 실시하고 있다.,모든 신규 보육교직원에게 업무 관련 오리엔테이션을 실시함,객관식
보육환경 및 운영관리,기관운영,신입영유아 적응을 위한 지원을 하고 있다.,신입 영유아 적응 지원 안내문과 적응 과정에 대한 관찰기록이 있음,객관식
보육환경 및 운영관리,기관운영,신입영유아 적응을 위한 지원을 하고 있다.,신입 영유아의 부모를 위한 오리엔테이션을 실시함,객관식
보육환경 및 운영관리,가정 및 지역 사회와의 연계,어린이집을 개방하여 다양한 부모참여와 교육이 이루어진다.,부모가 보육실 활동을 참관할 수 있는 구체적인 절차와 방법을 안내하고 있음,객관식
보육환경 및 운영관리,가정 및 지역 사회와의 연계,어린이집을 개방하여 다양한 부모참여와 교육이 이루어진다.,"부모가 자원봉사, 현장학습 동반, 급식 지원 등의 방법으로 어린이집 운영 지원에 참여하고 있음",객관식
보육환경 및 운영관리,가정 및 지역 사회와의 연계,어린이집을 개방하여 다양한 부모참여와 교육이 이루어진다.,부모교육(아동학대 예방교육 포함)을 두 가지 이상의 방법으로 실시하고 있음,객관식
보육환경 및 운영관리,가정 및 지역 사회와의 연계,평소 가정과 다양한 방법으로 소통하고 정기적인 개별면담을 통해 가족을 지원한다.,평소 두 가지 이상의 방법으로 가정과 소통하고 있음,객관식
보육환경 및 운영관리,가정 및 지역 사회와의 연계,평소 가정과 다양한 방법으로 소통하고 정기적인 개별면담을 통해 가족을 지원한다.,"모든 영유아의 부모와 연 2회 이상 개별면담하고 주요 면담내용을 기록, 관리함",객관식
보육환경 및 운영관리,가정 및 지역 사회와의 연계,평소 가정과 다양한 방법으로 소통하고 정기적인 개별면담을 통해 가족을 지원한다.,영유아나 가족의 문제를 파악하고 이해하고자 노력하고 있음,서술형
보육환경 및 운영관리,가정 및 지역 사회와의 연계,지역사회와 연계한 다양한 활동을 실시하고 있다.,지역사회 자원을 이용한 다양한 활동을 월 1회 이상(영아의 경우 2개월에 1회이상) 실시한 기록이 있음,객관식
건강 ･안전,실내 외 공간의 청결 및 안전,실내외 공간을 청결하고 쾌적하게 관리한다.,실내외 놀잇감을 청결하게 유지함,객관식
건강 ･안전,실내 외 공간의 청결 및 안전,실내외 공간을 청결하고 쾌적하게 관리한다.,실내외 공간을 청결하게 유지함,서술형
건강 ･안전,실내 외 공간의 청결 및 안전,실내외 공간을 청결하고 쾌적하게 관리한다.,개별 침구를 청결하게 유지함,객관식
건강 ･안전,실내 외 공간의 청결 및 안전,실내외 공간을 청결하고 쾌적하게 관리한다.,"실내의 공기 질, 온도, 습도, 채광, 조명을 적정하게 유지함",객관식
건강 ･안전,실내 외 공간의 청결 및 안전,실내외 공간과 설비를 위험요인 없이 안전하게 관리한다.,"현관문, 출입문, 창문, 천장, 바닥, 벽면을 위험요인 없이 안전하게 관리함",객관식
건강 ･안전,실내 외 공간의 청결 및 안전,실내외 공간과 설비를 위험요인 없이 안전하게 관리한다.,"실내외 공간의 고정식 및 이동식 시설･설비, 전기설비 등을 위험요인 없이 안전하게 관리함",객관식
건강 ･안전,실내 외 공간의 청결 및 안전,실내외 공간과 설비를 위험요인 없이 안전하게 관리한다.,"세면대, 정수기의 온수 사용을 위험요인 없이 안전하게 관리함",객관식
건강 ･안전,실내 외 공간의 청결 및 안전,실내외 공간과 설비를 위험요인 없이 안전하게 관리한다.,영유아가 성인이 주로 사용하는 실내외 공간에 출입하지 않도록 관리함,객관식
건강 ･안전,실내 외 공간의 청결 및 안전,실내외 공간의 놀잇감 및 활동자료와 위험한 물건을 안전하게 관리한다.,보육실 내 놀잇감 및 활동자료를 안전하게 관리함,객관식
건강 ･안전,실내 외 공간의 청결 및 안전,실내외 공간의 놀잇감 및 활동자료와 위험한 물건을 안전하게 관리한다.,실내외 공간에 비치된 놀잇감 및 활동자료를 안전하게 관리함,객관식
건강 ･안전,실내 외 공간의 청결 및 안전,실내외 공간의 놀잇감 및 활동자료와 위험한 물건을 안전하게 관리한다.,보육실 내의 위험한 물건을 안전하게 보관･관리함,객관식
건강 ･안전,실내 외 공간의 청결 및 안전,실내외 공간의 놀잇감 및 활동자료와 위험한 물건을 안전하게 관리한다.,실내외 공간의 위험한 물건을 안전하게 보관･관리함,객관식
건강 ･안전,급･간식,영양의 균형을 고려한 급･간식을 제공하고 있다.,"영양사가 작성한 식단에 따라 급･간식을 제공하고, 보존식을 보관함",객관식
건강 ･안전,급･간식,영양의 균형을 고려한 급･간식을 제공하고 있다.,"영유아의 연령 특성을 고려한 급･간식(양, 크기, 맛, 조리형태 등)을 제공함",객관식
건강 ･안전,급･간식,영양의 균형을 고려한 급･간식을 제공하고 있다.,인스턴트 식품보다 자연식품 위주로 급･간식을 제공함,객관식
건강 ･안전,급･간식,영양의 균형을 고려한 급･간식을 제공하고 있다.,식품 알레르기 질환에 대한 지침을 마련하여 실행함,객관식
건강 ･안전,급･간식,식자재의 구입･보관 및 조리공간을 위생적으로 관리하고 있다.,식자재는 신선한 것을 구입하고 이를 위생적으로 보관함 필수,객관식
건강 ･안전,급･간식,식자재의 구입･보관 및 조리공간을 위생적으로 관리하고 있다.,유통기한(소비기한) 경과 식품(식자재 등)이 없음 필수,객관식
건강 ･안전,급･간식,식자재의 구입･보관 및 조리공간을 위생적으로 관리하고 있다.,"조리실 공간(바닥, 벽, 천장 등)과 조리실 내 시설･설비(개수대, 조리대, 식기수납장, 가스레인지,후드, 환풍기, 주방가전 등)를 청결하게 유지함",객관식
건강 ･안전,급･간식,식자재의 구입･보관 및 조리공간을 위생적으로 관리하고 있다.,"식기류(컵 등)와 조리실 비품(조리도구, 행주 등)을 위생적으로 관리함",객관식
건강 ･안전,급･간식,조리 및 배식과정을 청결하고 위생적으로 관리하고 있다.,조리가 위생적으로 이루어짐,객관식
건강 ･안전,급･간식,조리 및 배식과정을 청결하고 위생적으로 관리하고 있다.,배식과정이 위생적으로 이루어짐,객관식
건강 ･안전,급･간식,조리 및 배식과정을 청결하고 위생적으로 관리하고 있다.,1회 조리된 음식은 당일 소모하고 재배식하지 않음 필수,객관식
건강 ･안전,급･간식,조리 및 배식과정을 청결하고 위생적으로 관리하고 있다.,"마실 물, 우유 등을 위생적으로 관리함",객관식
건강 ･안전,건강증진을 위한 교육 및 관리,"손 씻기, 양치질 등 청결한 위생습관을 실천한다",교사는 손을 씻어야 하는 상황에서 반드시 손을 씻음,객관식
건강 ･안전,건강증진을 위한 교육 및 관리,"손 씻기, 양치질 등 청결한 위생습관을 실천한다",영유아는 손을 씻어야 하는 상황에서 반드시 손을 씻음,객관식
건강 ･안전,건강증진을 위한 교육 및 관리,"손 씻기, 양치질 등 청결한 위생습관을 실천한다",식사 후 연령에 적합한 방법으로 이를 닦고 칫솔과 양치컵을 위생적으로 관리함,객관식
건강 ･안전,건강증진을 위한 교육 및 관리,"손 씻기, 양치질 등 청결한 위생습관을 실천한다",교사는 영유아의 배변 후 뒤처리를 위생적으로 함,객관식
건강 ･안전,건강증진을 위한 교육 및 관리,교사는 영유아의 건강상태를 살펴보고 적절하게 지원한다.,아프거나 다친 영유아에 대한 지침을 구비함,객관식
건강 ･안전,건강증진을 위한 교육 및 관리,교사는 영유아의 건강상태를 살펴보고 적절하게 지원한다.,"교사는 일과 중 영유아의 건강상태를 주의 깊게 살펴보고, 적절히 조치함",객관식
건강 ･안전,건강증진을 위한 교육 및 관리,교사는 영유아의 건강상태를 살펴보고 적절하게 지원한다.,"투약의뢰서를 관리하고, 부모에게 투약보고를 함",객관식
건강 ･안전,건강증진을 위한 교육 및 관리,교사는 영유아의 건강상태를 살펴보고 적절하게 지원한다.,비상약품을 용도별로 구비하여 유효기간 내로 관리함,객관식
건강 ･안전,건강증진을 위한 교육 및 관리,영유아와 보육교직원의 건강증진을 위한 예방관리와 교육을 실시한다.,"개별 영유아의 건강검진 서류, 응급처치동의서를 작성･관리함",객관식
건강 ･안전,건강증진을 위한 교육 및 관리,영유아와 보육교직원의 건강증진을 위한 예방관리와 교육을 실시한다.,영유아와 보육교직원을 대상으로 다양한 건강 및 영양교육을 실시함,객관식
건강 ･안전,건강증진을 위한 교육 및 관리,영유아와 보육교직원의 건강증진을 위한 예방관리와 교육을 실시한다.,보육교직원의 건강검진이 정기적으로 이루어짐,객관식
건강 ･안전,건강증진을 위한 교육 및 관리,영유아와 보육교직원의 건강증진을 위한 예방관리와 교육을 실시한다.,영유아 및 보육교직원에 대한 감염병 관리수칙을 수립하여 실천함,객관식
건강 ･안전,하원의 안전,교사는 영유아의 출석을 확인하며 인계규정에 따라 귀가지도를 한다.,영유아의 인계과정에 대한 체계적인 규정이 수립되어 있음,객관식
