어린이집명,어린이집등급,보육과정 및 상호작용,보육환경 및 운영관리,건강 및 안전,교직원,평가 인증 년월,우편번호,시군구명,어린이집코드,어린이집유형,상세주소,전화번호,시설 위도(좌표값),시설 경도(좌표값),제공서비스
GS건설 꿈과 희망의 어린이집,A,우수,우수,우수,우수,2022-09-01,3159,종로구,11110000156,직장,서울특별시 종로구 종로 33 그랑서울 타워2  (2층),02-3789-5971,37.57096024357674,126.98144024815856,일반
KIM&CHANG 어린이집,A,우수,우수,우수,우수,2023-08-01,3175,종로구,11110000150,직장,서울특별시 종로구 신문로2가 경희궁길 26 썬타워빌딩 1층,02-738-6901,37.57227407463736,126.97098987226796,일반
KT혜화 어린이집,A,우수,우수,우수,우수,2023-11-01,3082,종로구,11110000111,직장,서울특별시 종로구 대학로 65 (연건동),02-3676-9300,37.57700048,127.0042702,일반
LG광화문어린이집,A,우수,우수,우수,우수,2019-01-01,3184,종로구,11110000157,직장,서울특별시 종로구 신문로2가 새문안로 58,070-4065-0286,37.5692752221037,126.97157918099764,일반
SC으뜸별 어린이집,B,우수,보통,우수,우수,2020-01-01,3160,종로구,11110000170,직장,서울특별시 종로구 종로 47,02-3210-0904,37.5711261798,126.9824408691,일반
SGI서울보증 어린이집,A,우수,우수,우수,우수,2023-01-01,3128,종로구,11110000165,직장,서울특별시 종로구 김상옥로 29 2층,02-3671-7051,37.573628643388055,127.00103012788806,일반
SK ecoplant 행복날개어린이집,A,우수,우수,우수,우수,2022-12-01,3143,종로구,11110000152,직장,서울특별시 종로구 율곡로2길 19 SK ecoplant 행복날개어린이집,02-6395-0202,37.57443353268173,126.98114619280256,일반
SK네트웍스새싹어린이집,A,우수,우수,우수,우수,2022-06-01,3190,종로구,11140000026,직장,"서울특별시 종로구 청계천로 85 삼일빌딩, 3층",070-7800-2115,37.56505624,126.9830142,일반
SK행복어린이집,A,우수,우수,우수,우수,2023-12-01,3188,종로구,11110000105,직장,서울특별시 종로구 종로 26 SK서린동빌딩 2층,02-2121-1611,37.56967307,126.980289,일반
kids-sure어린이집,A,우수,우수,우수,우수,2021-07-01,3187,종로구,11110000147,직장,서울특별시 종로구 종로 14 (서린동),02-723-1272,37.570421002869445,126.98627649387804,일반
가회어린이집,A,우수,우수,우수,우수,2023-02-01,3056,종로구,11110000029,국공립,서울특별시 종로구 북촌로12길 12-2 가회어린이집 (가회동),02-3673-2085,37.58180502,126.9858807,야간연장
감사원어린이집,A,우수,우수,우수,우수,2023-07-01,3053,종로구,11110000183,직장,서울특별시 종로구 북촌로 127,02-730-9390,37.56647,126.977963,일반
경희궁솔빛어린이집,A,우수,우수,우수,우수,2023-08-01,3165,종로구,11110000174,국공립,서울특별시 종로구 송월길 99 210동 1층,02-732-8003,37.570919642,126.9622964217,야간연장
경희궁자이어린이집,A,우수,우수,우수,우수,2023-07-01,3180,종로구,11110000172,국공립,서울특별시 종로구 경교장길 35 306동 데크층,02-720-1633,37.56893882048901,126.96685686495866,야간연장
교보생명다솜이어린이집,A,우수,우수,우수,우수,2023-08-01,3176,종로구,11110000149,직장,서울특별시 종로구 신문로2가 경희궁1가길 3,02-722-2012,37.57206775576062,126.96937301306512,일반
구기어린이집,A,우수,우수,우수,우수,2021-07-01,3012,종로구,11110000154,민간,서울특별시 종로구 진흥로22길 8-1 (구기동),02-391-7072,37.60668049186278,126.95830100591704,야간연장
낙산어린이집,A,우수,우수,우수,우수,2022-06-01,3091,종로구,11110000015,국공립,서울특별시 종로구 창신길 210-11 낙산어린이집 (창신동),02-765-1268,37.57952972,127.0101667,"장애아통합,야간연장"
누상어린이집,A,우수,우수,우수,우수,2022-01-01,3037,종로구,11110000019,국공립,서울특별시 종로구 옥인길 23-4 (누상동),02-738-6711,37.58079240057926,126.9671957747272,야간연장
대학로어린이집,A,우수,우수,우수,우수,2019-11-01,3088,종로구,11110000143,국공립,서울특별시 종로구 이화장길 86-22,02-741-0323,37.57933439,127.0054732,야간연장
도담도담어린이집,C,개선필요,우수,우수,우수,2023-03-01,3110,종로구,11110000171,국공립,서울특별시 종로구 숭인동길 47,02-921-4500,37.5770648189,127.0218623558,야간연장
동화속아이들어린이집,A,우수,우수,우수,우수,2023-02-01,3025,종로구,11110000175,국공립,서울특별시 종로구 통일로 246-11 무악현대아파트 단지내,02-733-2440,37.5750955987,126.9591246301,야간연장
라이나생명 키즈나루 어린이집,A,우수,우수,우수,우수,2021-05-01,3156,종로구,11110000178,직장,서울특별시 종로구 삼봉로 48 시그나 빌딩 2층,02-3779-8170,37.57209526383034,126.98000913689998,일반
로카키즈어린이집,A,우수,우수,우수,우수,2022-08-01,3184,종로구,11110000180,직장,서울특별시 종로구 새문안로2길 10 1층,02-739-8042,37.56870363599733,126.97197897091388,일반
명륜어린이집,A,우수,우수,우수,우수,2020-03-01,3065,종로구,11110000044,국공립,서울특별시 종로구 성균관로13길 66 (명륜1가),02-742-8436,37.59133111,126.9949822,"장애아통합,야간연장"
무궁화어린이집,A,우수,우수,우수,우수,2020-08-01,3047,종로구,11110000142,직장,서울특별시 종로구 자하문로28길 8 외 1 (궁정동),02-730-2486,37.58479164,126.9710612,야간연장
무악어린이집,A,우수,우수,우수,우수,2023-03-01,3024,종로구,11110000023,국공립,서울특별시 종로구 통일로18길 64 (무악동),02-736-8003,37.57607379,126.9603255,야간연장
미래나무어린이집,A,우수,우수,우수,우수,2023-08-01,3129,종로구,11110000148,직장,서울특별시 종로구 종로33길 15 (연지동),02-747-9557,37.57181311108567,127.00100090217316,일반
부암어린이집,A,우수,우수,우수,우수,2022-07-01,3019,종로구,11110000014,국공립,서울특별시 종로구 세검정로6다길 10-7,02-396-6226,37.60152236,126.9630733,"장애아통합,야간연장"
사직어린이집,A,우수,우수,우수,우수,2020-01-01,3039,종로구,11110000038,국공립,서울특별시 종로구 필운대로1길 16-8,02-720-0798,37.57809877,126.9686864,"장애아통합,야간연장"
삼양어린이집,A,우수,우수,우수,우수,2021-01-01,3129,종로구,11110000176,직장,서울특별시 종로구 종로33길 31,02-760-5081,37.5726123205,127.0010957695,일반
삼청어린이집,B,우수,보통,우수,우수,2022-07-01,3049,종로구,11110000011,국공립,서울특별시 종로구 삼청로7길 26 (팔판동),02-723-0155,37.58400574,126.9804875,야간연장
상록수어린이집,A,우수,우수,우수,우수,2020-01-01,3166,종로구,11110000030,국공립,서울특별시 종로구 송월1길 73-7 상록수어린이집,02-738-1773,37.5727619906,126.9646047637,야간연장
서울경찰청어린이집,A,우수,우수,우수,우수,2023-11-01,3169,종로구,11110000167,직장,서울특별시 종로구 사직로8길 31,02-720-8502,37.56647,126.977963,일반
서울대학교병원어린이집,A,우수,우수,우수,우수,2020-02-01,3085,종로구,11110000083,직장,서울특별시 종로구 동숭3길 40,02-2072-2260,37.57946548,126.9990227,일반
서울지방국세청 우리누리어린이집,A,우수,우수,우수,우수,2021-09-01,3151,종로구,11110000179,직장,서울특별시 종로구 종로5길 86,02-739-5100,37.57413147177976,126.97977086919582,일반
서울청사푸르미어린이집,A,우수,우수,우수,우수,2023-08-01,3171,종로구,11110000122,직장,서울특별시 종로구 세종로 세종대로 209 서울청사 푸르미어린이집,02-737-7327,37.57529731027255,126.9748320559236,야간연장
서울청사한빛어린이집,A,우수,우수,우수,우수,2022-07-01,3171,종로구,11110000079,직장,서울특별시 종로구 세종대로 209 서울청사관리소,02-735-6400,37.57499554246283,126.97514063547618,야간연장
선재어린이집,A,우수,우수,우수,우수,2020-07-01,3144,종로구,11110000177,국공립,서울특별시 종로구 우정국로 51-4,02-720-9770,37.57347189187701,126.98225014135956,야간연장
세종마을어린이집,A,우수,우수,우수,우수,2022-08-01,3034,종로구,11110000017,국공립,서울특별시 종로구 옥인길 89 (옥인동),02-732-3070,37.58195218,126.9639188,야간연장
숭인어린이집,A,우수,우수,우수,우수,2022-07-01,3108,종로구,11110000040,국공립,서울특별시 종로구 지봉로 86 (숭인동),02-743-7527,37.57781735,127.0156145,야간연장
아동회관어린이집,B,우수,보통,우수,우수,2022-06-01,3094,종로구,11110000013,국공립,서울특별시 종로구 지봉로13길 14 아동회관어린이집,02-763-6038,37.57830726,127.0118098,야간연장
아이누리 어린이집,A,우수,우수,우수,우수,2023-12-01,3174,종로구,11110000162,직장,서울특별시 종로구 사직로8길 20 파크팰리스 제1층 제101호,02-6959-7695,37.57393132279893,126.97059029610531,일반
아이소리어린이집,A,우수,우수,우수,우수,2023-01-01,3104,종로구,11110000151,가정,"서울특별시 종로구 지봉로5길 7 103-101(창신동,두산아파트)",02-3672-5011,37.57407935499962,127.01383331012804,일반
안동어린이집,A,우수,우수,우수,우수,2023-01-01,3055,종로구,11110000086,민간,서울특별시 종로구 북촌로7길 3-10,02-743-9307,37.5798836,126.9843648,일반
엄마품어린이집,A,우수,우수,우수,우수,2019-11-01,3010,종로구,11110000066,가정,"서울특별시 종로구 평창문화로 172 102동 106호(평창동, 삼성아파트)",02-379-1317,37.61035089,126.9744434,야간연장
엔젤키즈어린이집,A,우수,우수,우수,우수,2022-09-01,3021,종로구,11110000057,국공립,서울특별시 종로구 자하문로43길 4-13,02-379-5133,37.59853986,126.9605022,야간연장
연동어린이집,A,우수,우수,우수,우수,2022-01-01,3128,종로구,11110000184,국공립,서울특별시 종로구 대학로3길 9 연지동,02-3673-2866,37.57392371531399,127.00140652631974,야간연장
은행나무어린이집,A,우수,우수,우수,우수,2022-09-01,3091,종로구,11110000028,국공립,서울특별시 종로구 낙산5길 33 (창신동),02-744-5420,37.57895144,127.010942,"장애아통합,방과후 통합,야간연장"
인왕어린이집,A,우수,우수,우수,우수,2023-07-01,3024,종로구,11110000034,국공립,서울특별시 종로구 통일로18길 9 인왕산 아이파크단지내,02-738-8577,37.57705710065089,126.95731990254116,야간연장
