,구,주소,어린이집명,어린이집등급,보육과정 및 상호작용,보육환경 및 운영관리,건강 및 안전,교직원,평가 인증 년월
0,종로구,(03159) 서울특별시 종로구 종로 33 그랑서울 타워2 (2층),GS건설 꿈과 희망의 어린이집,A,우수,우수,우수,우수,2022.09
1,종로구,(03175) 서울특별시 종로구 신문로2가 경희궁길 26 썬타워빌딩 1층,KIM&CHANG 어린이집,A,우수,우수,우수,우수,2023.08
2,종로구,(03082) 서울특별시 종로구 대학로 65 (연건동),KT혜화 어린이집,A,우수,우수,우수,우수,2023.11
3,종로구,(03184) 서울특별시 종로구 신문로2가 새문안로 58 ,LG광화문어린이집,A,우수,우수,우수,우수,2019.1
4,종로구,(03160) 서울특별시 종로구 종로 47 ,SC으뜸별 어린이집,B,우수,보통,우수,우수,2020.01
5,종로구,(03128) 서울특별시 종로구 김상옥로 29 2층,SGI서울보증 어린이집,A,우수,우수,우수,우수,2023.1
6,종로구,(03143) 서울특별시 종로구 율곡로2길 19 SK ecoplant 행복날개어린이집,SK ecoplant 행복날개어린이집,A,우수,우수,우수,우수,2022.12
7,종로구,"(03190) 서울특별시 종로구 청계천로 85 삼일빌딩, 3층",SK네트웍스새싹어린이집,A,우수,우수,우수,우수,2022.06
8,종로구,(03188) 서울특별시 종로구 종로 26 SK서린동빌딩 2층,SK행복어린이집,A,우수,우수,우수,우수,2023.12
9,종로구,(03187) 서울특별시 종로구 종로 14 (서린동),kids-sure어린이집,A,우수,우수,우수,우수,2021.07
10,종로구,(03056) 서울특별시 종로구 북촌로12길 12-2 가회어린이집 (가회동),가회어린이집,A,우수,우수,우수,우수,2023.02
11,종로구,(03053) 서울특별시 종로구 북촌로 127 ,감사원어린이집,A,우수,우수,우수,우수,2023.07
12,종로구,(03165) 서울특별시 종로구 송월길 99 210동 1층,경희궁솔빛어린이집,A,우수,우수,우수,우수,2023.08
13,종로구,(03180) 서울특별시 종로구 경교장길 35 306동 데크층,경희궁자이어린이집,A,우수,우수,우수,우수,2023.07
14,종로구,(03176) 서울특별시 종로구 신문로2가 경희궁1가길 3 ,교보생명다솜이어린이집,A,우수,우수,우수,우수,2023.08
15,종로구,(03012) 서울특별시 종로구 진흥로22길 8-1 (구기동),구기어린이집,A,우수,우수,우수,우수,2021.07
16,종로구,(03091) 서울특별시 종로구 창신길 210-11 낙산어린이집 (창신동),낙산어린이집,A,우수,우수,우수,우수,2022.06
17,종로구,(03037) 서울특별시 종로구 옥인길 23-4 (누상동),누상어린이집,A,우수,우수,우수,우수,2022.1
18,종로구,(03088) 서울특별시 종로구 이화장길 86-22 ,대학로어린이집,A,우수,우수,우수,우수,2019.11
19,종로구,(03110) 서울특별시 종로구 숭인동길 47 ,도담도담어린이집,C,개선필요,우수,우수,우수,2023.03
20,종로구,(03025) 서울특별시 종로구 통일로 246-11 무악현대아파트 단지내,동화속아이들어린이집,A,우수,우수,우수,우수,2023.02
21,종로구,(03156) 서울특별시 종로구 삼봉로 48 시그나 빌딩 2층,라이나생명 키즈나루 어린이집,A,우수,우수,우수,우수,2021.05
22,종로구,(03184) 서울특별시 종로구 새문안로2길 10 1층,로카키즈어린이집,A,우수,우수,우수,우수,2022.08
23,종로구,(03065) 서울특별시 종로구 성균관로13길 66 (명륜1가),명륜어린이집,A,우수,우수,우수,우수,2020.03
24,종로구,(03047) 서울특별시 종로구 자하문로28길 8 외 1 (궁정동),무궁화어린이집,A,우수,우수,우수,우수,2020.08
25,종로구,(03024) 서울특별시 종로구 통일로18길 64 (무악동),무악어린이집,A,우수,우수,우수,우수,2023.03
26,종로구,(03129) 서울특별시 종로구 종로33길 15 (연지동),미래나무어린이집,A,우수,우수,우수,우수,2023.08
27,종로구,(03019) 서울특별시 종로구 세검정로6다길 10-7 ,부암어린이집,A,우수,우수,우수,우수,2022.07
28,종로구,(03039) 서울특별시 종로구 필운대로1길 16-8 ,사직어린이집,A,우수,우수,우수,우수,2020.01
29,종로구,(03129) 서울특별시 종로구 종로33길 31 ,삼양어린이집,A,우수,우수,우수,우수,2021.01
30,종로구,(03049) 서울특별시 종로구 삼청로7길 26 (팔판동),삼청어린이집,B,우수,보통,우수,우수,2022.07
31,종로구,(03166) 서울특별시 종로구 송월1길 73-7 상록수어린이집,상록수어린이집,A,우수,우수,우수,우수,2020.01
32,종로구,(03169) 서울특별시 종로구 사직로8길 31 ,서울경찰청어린이집,A,우수,우수,우수,우수,2023.11
33,종로구,(03085) 서울특별시 종로구 동숭3길 40 ,서울대학교병원어린이집,A,우수,우수,우수,우수,2020.02
34,종로구,(03151) 서울특별시 종로구 종로5길 86 ,서울지방국세청 우리누리어린이집,A,우수,우수,우수,우수,2021.09
35,종로구,(03171) 서울특별시 종로구 세종로 세종대로 209 서울청사 푸르미어린이집,서울청사푸르미어린이집,A,우수,우수,우수,우수,2023.08
36,종로구,(03171) 서울특별시 종로구 세종대로 209 서울청사관리소,서울청사한빛어린이집,A,우수,우수,우수,우수,2022.07
37,종로구,(03144) 서울특별시 종로구 우정국로 51-4 ,선재어린이집,A,우수,우수,우수,우수,2020.07
38,종로구,(03034) 서울특별시 종로구 옥인길 89 (옥인동),세종마을어린이집,A,우수,우수,우수,우수,2022.08
39,종로구,(03108) 서울특별시 종로구 지봉로 86 (숭인동),숭인어린이집,A,우수,우수,우수,우수,2022.07
40,종로구,(03094) 서울특별시 종로구 지봉로13길 14 아동회관어린이집,아동회관어린이집,B,우수,보통,우수,우수,2022.06
41,종로구,(03174) 서울특별시 종로구 사직로8길 20 파크팰리스 제1층 제101호,아이누리 어린이집,A,우수,우수,우수,우수,2023.12
42,종로구,"(03104) 서울특별시 종로구 지봉로5길 7 103-101(창신동,두산아파트)",아이소리어린이집,A,우수,우수,우수,우수,2023.1
43,종로구,(03055) 서울특별시 종로구 북촌로7길 3-10 ,안동어린이집,A,우수,우수,우수,우수,2023.1
44,종로구,"(03010) 서울특별시 종로구 평창문화로 172 102동 106호(평창동, 삼성아파트)",엄마품어린이집,A,우수,우수,우수,우수,2019.11
45,종로구,(03021) 서울특별시 종로구 자하문로43길 4-13 ,엔젤키즈어린이집,A,우수,우수,우수,우수,2022.09
46,종로구,(03128) 서울특별시 종로구 대학로3길 9 연지동,연동어린이집,A,우수,우수,우수,우수,2022.1
47,종로구,(03091) 서울특별시 종로구 낙산5길 33 (창신동),은행나무어린이집,A,우수,우수,우수,우수,2022.09
48,종로구,(03024) 서울특별시 종로구 통일로18길 9 인왕산 아이파크단지내,인왕어린이집,A,우수,우수,우수,우수,2023.07
49,종로구,(03109) 서울특별시 종로구 지봉로12가길 35 (숭인동),조은어린이집,A,우수,우수,우수,우수,2020.01
50,종로구,(03173) 서울특별시 종로구 사직로8길 48 종교교회내 1층 (도렴동),종교교회어린이집,A,우수,우수,우수,우수,2022.1
51,종로구,(03152) 서울특별시 종로구 종로1길 36 대림빌딩,종로구청직장어린이집,A,우수,우수,우수,우수,2022.05
52,종로구,(03009) 서울특별시 종로구 평창문화로 73-7 종로생명숲어린이집,종로생명숲어린이집,A,우수,우수,우수,우수,2021.09
53,종로구,(03073) 서울특별시 종로구 성균관로1길 6-3 ,창경어린이집,A,우수,우수,우수,우수,2022.04
54,종로구,(03105) 서울특별시 종로구 창신5길 22 (창신동),창신어린이집,A,우수,우수,우수,우수,2020.01
55,종로구,(03089) 서울특별시 종로구 낙산성곽동길 69 창신동,창신제일어린이집,B,보통,우수,우수,우수,2022.04
56,종로구,(03092) 서울특별시 종로구 낙산길 198 205-101,천사어린이집,A,우수,우수,우수,우수,2023.08
57,종로구,(03031) 서울특별시 종로구 자하문로35길 21 ,청운어린이집,B,우수,보통,우수,우수,2022.06
58,종로구,(03130) 서울특별시 종로구 창경궁로 120 종로플레이스 2층,청정원 종로 어린이집,A,우수,우수,우수,우수,2023.02
59,종로구,(03139) 서울특별시 종로구 돈화문로5가길 23 (돈의동),초동어린이집,A,우수,우수,우수,우수,2023.12
60,종로구,(03112) 서울특별시 종로구 종로65길 10 (숭인동),한빛어린이집,A,우수,우수,우수,우수,2022.1
61,종로구,(03181) 서울특별시 종로구 통일로 134 디타워 돈의문 2층,한숲어린이집,A,우수,우수,우수,우수,2023.02
62,종로구,(03058) 서울특별시 종로구 창덕궁길 19 현대다솜어린이집,현대다솜어린이집,A,우수,우수,우수,우수,2022.09
63,종로구,(03176) 서울특별시 종로구 신문로2가 경희궁1길 9 ,현대해상 온마음어린이집,A,우수,우수,우수,우수,2023.07
64,종로구,(03084) 서울특별시 종로구 대학로14길 34 ,혜화어린이집,A,우수,우수,우수,우수,2023.03
65,중구,(04560) 서울특별시 중구 동호로 330 (쌍림동),CJ키즈빌 어린이집,A,우수,우수,우수,우수,2023.08
66,중구,(04637) 서울특별시 중구 남대문로5가 한강대로 416 서울스퀘어 5층,GKL행복어린이집,A,우수,우수,우수,우수,2019.1
67,중구,(04538) 서울특별시 중구 을지로2가 을지로 82 ,IBK 참! 좋은 어린이집,A,우수,우수,우수,우수,2019.1
68,중구,(04637) 서울특별시 중구 남대문로5가 후암로 98 2층,LG서울역어린이집,A,우수,우수,우수,우수,2020.02
69,중구,(04539) 서울특별시 중구 을지로2가 을지로 65 SK-T타워 3층,SKT행복날개어린이집,A,우수,우수,우수,우수,2021.07
70,중구,(04637) 서울특별시 중구 남대문로5가 퇴계로 24 SK남산그린빌딩 4층,SK브로드밴드 행복한 어린이집,A,우수,우수,우수,우수,2021.07
71,중구,(04506) 서울특별시 중구 청파로 447-1 ,가명어린이집,A,우수,우수,우수,우수,2020.01
72,중구,(04614) 서울특별시 중구 장충단로 204 ,경동어린이집,A,우수,우수,우수,우수,2022.1
73,중구,(04539) 서울특별시 중구 을지로2가 을지로 55 교원명동빌딩 3층,교원&하나투어 공동직장어린이집,B,우수,우수,보통,보통,2020.09
74,중구,(04572) 서울특별시 중구 청계천로 400 101동 709호,꿈나무어린이집,A,우수,우수,우수,우수,2020.03
75,중구,(04595) 서울특별시 중구 동호로5길 193 남산숲어린이집 (신당동),남산숲어린이집,A,우수,우수,우수,우수,2022.08
76,중구,(04595) 서울특별시 중구 다산로 32 (신당동),남산타운어린이집,D,우수,우수,우수,우수,2022.12
77,중구,(04516) 서울특별시 중구 새문안로 16 농협중앙회 별관 2층,농협중앙회 별관 어린이집,A,우수,우수,우수,우수,2023.02
78,중구,(04516) 서울특별시 중구 새문안로 16 ,농협중앙회어린이집,A,우수,우수,우수,우수,2021.08
79,중구,(04500) 서울특별시 중구 만리동2가 만리재로21길 9 ,늘푸른어린이집,A,우수,우수,우수,우수,2023.08
80,중구,(04604) 서울특별시 중구 동호로15길 50 (신당동),다산어린이집,B,우수,우수,우수,우수,2022.12
81,중구,"(04593) 서울특별시 중구 동호로10길 30 103동 101호(신당동, 약수하이츠)",다솜어린이집,A,우수,우수,우수,우수,2021.08
82,중구,(04576) 서울특별시 중구 다산로48길 33 단우물어린이집(황학동),단우물 어린이집,A,우수,우수,우수,우수,2022.07
83,중구,(04584) 서울특별시 중구 다산로38길 80 (신당동),동화나라어린이집,A,우수,우수,우수,우수,2022.1
84,중구,(04587) 서울특별시 중구 청구로 64 청구e편한세상아파트 106동 1층,동화어린이집,A,우수,우수,우수,우수,2019.12
